time,outdoor_temp_C,global_irradiance_W_m2,effective_outdoor_temp_C,room_air_setpoint_C,dynamic_heating_balance_temp_C,is_night_setback,heating_degree_K,heat_loss_indicator_kW,usable_solar_gain_kW,space_user_modifier,dhw_user_modifier,is_vacation,space_heating_load_kW,dhw_load_kW,total_heat_load_kW
2025-07-02 21:00:00,33.1,0.0,35.06523694829375,20.0,15.0,0,0.0,0.0,91.9773239148785,1.0,1.0,0,3.1173063428828887e-98,24.355505976241485,24.355505976241485
2025-07-02 22:00:00,31.9,0.0,34.36508901393772,20.0,15.0,0,0.0,0.0,77.85712379828908,1.0,1.0,0,2.0895929312684483e-98,16.57585938659561,16.57585938659561
2025-07-02 23:00:00,30.3,0.0,33.46589450730966,20.0,15.0,0,0.0,0.0,65.90463244779782,1.0,1.0,0,1.4006960298836126e-98,9.763829652007148,9.763829652007148
2025-07-03 00:00:00,29.5,0.0,32.58864174787135,20.0,15.0,0,0.0,0.0,55.78706695269384,1.0,1.0,0,9.389146272335207e-99,3.641243537315576,3.641243537315576
2025-07-03 01:00:00,28.6,0.0,31.706357316633508,20.0,15.0,0,0.0,0.0,47.22273266070446,1.0,1.0,0,6.293732961507087e-99,3.6412792798178724,3.6412792798178724
2025-07-03 02:00:00,27.4,0.0,30.753794450379452,20.0,15.0,0,0.0,0.0,39.97318019668145,1.0,1.0,0,4.218815368493451e-99,3.643547413273645,3.643547413273645
2025-07-03 03:00:00,26.2,0.0,29.746498683901734,20.0,15.0,0,0.0,0.0,33.83656652225025,1.0,1.0,0,2.8279565120243925e-99,3.710467670513826,3.710467670513826
2025-07-03 04:00:00,26.1,7.0,28.939896030491518,20.0,15.0,0,0.0,0.0,28.952739015707476,1.0,1.0,0,1.895635939326977e-99,4.617656316705069,4.617656316705069
2025-07-03 05:00:00,25.2,47.0,28.112633957152433,20.0,15.0,0,0.0,0.0,26.594118692912787,1.0,1.0,0,1.2706827701164715e-99,10.107525325524076,10.107525325524076
2025-07-03 06:00:00,23.6,88.0,27.114442859544926,20.0,15.0,0,0.0,0.0,26.417426362948646,1.0,1.0,0,8.51764132961167e-100,23.752842167053664,23.752842167053664
2025-07-03 07:00:00,22.2,127.0,26.027371947373265,20.0,15.0,0,0.0,0.0,27.998923683492226,1.0,1.0,0,5.709545728180358e-100,33.07540546238968,33.07540546238968
2025-07-03 08:00:00,20.2,133.0,24.738361835862634,20.0,15.0,0,0.0,0.0,29.60394982464762,1.0,1.0,0,3.827222955356445e-100,24.275679595530505,24.275679595530505
